Name,Sex,Event,Equipment,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots,Federation
Lifter 0,F,SBD,Raw,22.0,63.9,77.8,42.8,76.6,197.2,104.7,IPF
Lifter 1,M,SBD,Single-ply,28.0,102.1,186.1,137.4,224.4,547.9,204.7,IPF
Lifter 2,F,SBD,Wraps,40.0,51.5,73.0,,65.2,,115.6,USPA
Lifter 3,F,SBD,Raw,28.0,45.6,55.5,45.7,60.6,161.8,110.6,IPF
Lifter 4,M,SBD,Raw,49.0,108.6,179.1,97.8,194.1,471.0,168.0,USAPL
Lifter 5,F,SBD,Wraps,52.0,85.5,91.0,48.2,101.3,240.5,102.6,USPA
Lifter 6,F,SBD,Raw,51.0,76.7,59.8,52.9,87.5,200.2,92.7,USAPL
Lifter 7,F,SBD,Wraps,24.0,56.4,75.9,52.5,47.0,175.4,102.3,WRPF
Lifter 8,M,SBD,Raw,39.0,100.1,183.2,88.1,173.7,445.0,168.7,IPF
Lifter 9,M,SBD,Raw,38.0,89.2,154.2,91.9,172.4,418.5,173.0,USAPL
Lifter 10,M,SBD,Raw,,57.4,112.6,55.2,84.8,252.6,145.4,USAPL
Lifter 11,F,SBD,Raw,25.0,75.4,92.4,48.1,80.9,221.4,103.8,USAPL
Lifter 12,M,SBD,Raw,38.0,104.5,179.5,105.8,234.8,520.1,191.0,USAPL
Lifter 13,F,SBD,Raw,25.0,92.0,102.8,56.4,139.1,298.3,120.5,USPA
Lifter 14,M,SBD,Raw,48.0,139.9,218.2,102.3,221.9,542.4,160.0,USPA
Lifter 15,M,SBD,Raw,20.0,92.6,157.1,101.4,168.4,426.9,171.6,USPA
Lifter 16,M,SBD,Raw,64.0,57.9,77.4,33.5,68.9,179.8,102.8,USPA
Lifter 17,M,SBD,Wraps,43.0,121.2,211.8,130.3,253.3,595.4,195.6,IPF
Lifter 18,F,SBD,Raw,36.0,44.0,56.9,33.8,58.3,149.0,104.7,USAPL
Lifter 19,M,SBD,Raw,31.0,76.8,96.6,110.0,172.2,378.8,175.2,USAPL
Lifter 20,F,SBD,Raw,51.0,50.9,50.6,,69.5,,103.9,IPF
Lifter 21,M,SBD,Raw,25.0,98.5,131.2,122.8,157.6,411.6,158.0,USAPL
Lifter 22,F,SBD,Wraps,20.0,59.7,79.9,69.0,86.1,235.0,131.3,USAPL
Lifter 23,F,SBD,Raw,42.0,44.0,44.5,38.8,42.7,126.0,88.5,USPA
Lifter 24,F,SBD,Raw,36.0,73.8,80.3,62.7,98.5,241.5,115.1,USAPL
Lifter 25,M,SBD,Raw,40.0,63.5,92.4,89.8,108.3,290.5,155.0,USPA
Lifter 26,M,SBD,Raw,,89.0,145.6,97.8,196.6,440.0,182.2,USPA
Lifter 27,M,SBD,Raw,44.0,105.7,160.0,96.3,127.2,383.5,139.6,IPF
Lifter 28,M,SBD,Raw,36.0,91.6,122.3,100.9,149.0,372.2,150.8,USPA
Lifter 29,F,SBD,Single-ply,33.0,53.9,69.1,48.8,63.7,181.6,109.5,USAPL
Lifter 30,F,SBD,Raw,37.0,73.4,53.5,67.7,103.4,224.6,107.5,USPA
Lifter 31,F,SBD,Raw,46.0,76.0,75.5,65.9,79.3,220.7,102.9,USAPL
Lifter 32,M,SBD,Raw,47.0,74.6,154.1,96.3,153.5,403.9,190.9,USAPL
Lifter 33,M,SBD,Raw,40.0,97.1,167.5,111.3,161.4,440.2,170.8,USPA
Lifter 34,M,SBD,Raw,21.0,88.1,154.9,92.4,125.7,373.0,155.7,IPF
Lifter 35,m,SBD,Single-ply,39.0,129.3,266.9,,248.1,,197.9,IPF
Lifter 36,M,SBD,Multi-ply,24.0,110.4,207.8,138.9,249.2,595.9,210.0,USAPL
Lifter 37,M,SBD,Raw,47.0,108.7,140.2,76.5,203.2,419.9,149.7,USAPL
Lifter 38,M,SBD,Wraps,45.0,57.2,92.8,75.7,106.4,274.9,158.6,USPA
Lifter 39,F,SBD,Raw,29.0,78.9,87.5,,98.3,,112.8,USPA
Lifter 40,M,SBD,Raw,43.0,110.4,151.9,135.0,154.1,441.0,155.4,IPF
Lifter 41,F,SBD,Raw,37.0,56.4,61.1,26.8,73.2,161.1,93.9,IPF
Lifter 42,F,SBD,Wraps,30.0,44.0,67.6,,73.6,,122.2,WRPF
Lifter 43,M,SBD,Single-ply,43.0,77.1,183.6,75.7,142.3,401.6,185.2,IPF
Lifter 44,F,SBD,Raw,56.0,64.0,52.3,39.7,66.7,158.7,84.2,USAPL
Lifter 45,F,SBD,Wraps,32.0,78.1,83.9,77.0,98.8,259.7,118.6,IPF
