latitude,longitude,state,year,hour,shape
39.96,-83.0,OH,2001,20,light
43.97,-75.91,NY,2002,21,other
36.06,-94.16,AR,2013,21,chevron
41.8,-71.89,CT,2005,8,oval
36.4,-93.74,AR,1999,21,light
42.87,-106.31,WY,2011,23,light
44.36,-98.21,SD,2009,0,light
39.56,-76.07,MD,2009,23,circle
41.57,-87.78,IL,2005,20,light
42.66,-70.62,MA,2000,23,oval
41.56,-76.06,PA,2002,9,chevron
39.99,-76.02,PA,2012,21,fireball
30.39,-95.7,TX,2013,22,circle
48.76,-122.49,WA,2008,7,light
34.11,-117.29,CA,2008,23,circle
36.16,-81.15,NC,2011,3,light
30.27,-97.74,TX,2011,16,fireball
47.81,-116.9,ID,2013,20,light
47.86,-121.97,WA,2014,19,unknown
64.84,-147.72,AK,2008,15,unknown
41.15,-80.7,OH,1975,21,oval
44.64,-123.1,OR,2009,21,changing
46.76,-89.09,MI,2009,21,light
38.63,-90.2,MO,2011,11,triangle
34.0,-81.03,SC,2013,22,sphere
42.68,-89.02,WI,1982,22,rectangle
25.91,-80.31,FL,2007,16,changing
39.96,-76.73,PA,1999,10,cylinder
40.59,-105.08,CO,2002,1,triangle
42.43,-71.61,MA,2005,16,light
37.51,-122.26,CA,2007,20,oval
45.34,-123.19,OR,1998,4,fireball
47.53,-122.03,WA,2011,11,circle
34.23,-77.94,NC,2002,22,light
39.95,-75.16,PA,1995,22,triangle
35.84,-90.7,AR,2005,0,disk
38.01,-121.8,CA,2001,22,other
34.23,-111.32,AZ,2009,19,light
47.17,-122.52,WA,2014,1,cone
47.98,-122.2,WA,2012,23,unknown
37.34,-121.89,CA,2009,0,light
42.49,-92.34,IA,2003,18,other
41.47,-74.54,NY,1965,22,unknown
42.73,-84.56,MI,2003,18,na
32.78,-79.93,SC,2014,22,formation
47.38,-122.23,WA,1968,7,triangle
46.6,-120.5,WA,2001,22,chevron
32.61,-80.08,SC,2012,1,circle
47.1,-122.43,WA,2011,20,formation
28.9,-81.26,FL,2008,21,fireball
29.89,-81.31,FL,2010,1,unknown
34.48,-114.32,AZ,2007,21,sphere
37.99,-92.09,MO,2009,1,circle
42.91,-85.71,MI,2001,3,disk
41.45,-75.38,PA,2013,18,fireball
27.1,-82.45,FL,2012,18,sphere
39.31,-94.92,KS,1998,23,fireball
39.76,-84.19,OH,2005,20,fireball
29.95,-90.08,LA,1999,20,light
45.49,-122.8,OR,2008,0,unknown
41.24,-81.35,OH,2009,18,triangle
38.22,-85.36,KY,2013,21,unknown
